,juso,lat,lon,x,y
25,서울특별시 은평구 수색로 254-2,37.5836106,126.89327390000001,190573.2286099956,553789.2369954837
26,서울특별시 은평구 수색로 255,37.581755,126.8955049,190770.05659833213,553583.064932006
27,서울특별시 은평구 수색로 256,37.5822188,126.89625659999999,190836.5103420904,553634.4678694431
28,서울특별시 은평구 수색로 257,37.581902899999996,126.8952298,190745.77560169017,553599.5072139128
29,서울특별시 은평구 수색로 260,37.5824001,126.8955044,190770.09207509554,553654.6637470328
30,서울특별시 은평구 수색로 260-1,37.5825068,126.8954541,190765.66234469542,553666.5111779239
31,서울특별시 은평구 수색로 261,37.581930799999995,126.894943,190720.4463619204,553602.6320875112
32,서울특별시 은평구 수색로 261-1,37.58028970000001,126.89596920000001,190810.88765506196,553420.3878047382
33,서울특별시 은평구 수색로 262,37.5824618,126.8952669,190749.12175690115,553661.535107031
34,서울특별시 은평구 수색로 262-1,37.582484,126.89522690000001,190745.59137894146,553664.0029945233
35,서울특별시 은평구 수색로 262-2,37.5825115,126.8951767,190741.160712863,553667.0601285709
36,서울특별시 은평구 수색로 264,37.5825469,126.89511159999999,190735.41494095526,553670.9955445955
37,서울특별시 은평구 수색로 264-1,37.582631899999996,126.89504579999999,190729.61349523952,553680.4360703273
38,서울특별시 은평구 수색로 266,37.5826773,126.8948912,190715.96363222515,553685.4902221742
39,서울특별시 은평구 수색로 266-1,37.5826773,126.8948912,190715.96363222515,553685.4902221742
40,서울특별시 은평구 수색로 266-6,37.583060499999995,126.89492290000001,190718.81119883864,553728.0179391605
41,서울특별시 은평구 수색로 268,37.5828617,126.8946632,190695.84782097168,553705.9790853793
42,서울특별시 은평구 수색로 268-2,37.582773700000004,126.8948966,190716.4525733852,553696.1889937852
43,서울특별시 은평구 수색로 268-4,37.5827581,126.89505190000001,190730.1679435224,553694.4422351469
44,서울특별시 은평구 수색로 269-12,37.5826331,126.8937291,190613.31223529618,553680.7000063539
45,서울특별시 은평구 수색로 269-20,37.5825292,126.89398759999999,190636.13199649236,553669.1424885419
46,서울특별시 은평구 수색로 269-22,37.5824463,126.8938983,190628.23390789458,553659.9504351558
47,서울특별시 은평구 수색로 269-30,37.5823172,126.8937779,190617.58299479506,553645.6338199509
48,서울특별시 은평구 수색로 269-32,37.582598100000006,126.89356200000002,190598.5482338214,553676.8321136124
49,서울특별시 은평구 수색로 269-36,37.582513,126.8934138,190585.4473093589,553667.4018219305
50,서울특별시 은평구 수색로 269-38,37.5824679,126.8935119,190594.10662094195,553662.3864075333
51,서울특별시 은평구 수색로 269-40,37.5823977,126.89361370000002,190603.08960248125,553654.5848172777
52,서울특별시 은평구 수색로 269-46,37.5823172,126.8937779,190617.58299479506,553645.6338199509
53,서울특별시 은평구 수색로 269-50,37.5823172,126.8937779,190617.58299479506,553645.6338199509
54,서울특별시 은평구 수색로 270,37.582834600000005,126.8945662,190687.27666051165,553702.9809045541
55,서울특별시 은평구 수색로 270-1,37.582862,126.8945103,190682.3425564736,553706.027536479
56,서울특별시 은평구 수색로 270-2,37.5829012,126.8944588,190677.79856907608,553710.3834007607
57,서울특별시 은평구 수색로 271,37.582633799999996,126.8940982,190645.91416850616,553680.7408819665
58,서울특별시 은평구 수색로 271-1,37.5826501,126.8940051,190637.69287785486,553682.5592711695
59,서울특별시 은평구 수색로 272,37.582988,126.8944881,190680.39738905,553720.0143082788
60,서울특별시 은평구 수색로 272-1,37.5830854,126.89440060000001,190672.6808821851,553730.8332869918
61,서울특별시 은평구 수색로 273,37.582652,126.89392920000002,190630.9890262324,553682.7777165364
62,서울특별시 은평구 수색로 273-1,37.5827404,126.8938385,190622.9887709892,553692.5981622395
63,서울특별시 은평구 수색로 274,37.583051399999995,126.8942358,190658.12027591318,553727.0760484672
64,서울특별시 은평구 수색로 274-1,37.5830861,126.8940983,190645.97959269062,553730.9410370961
65,서울특별시 은평구 수색로 275,37.582798600000004,126.89370509999999,190611.2131485717,553699.071025412
