관리번호,급경사지명,시행청명,관리주체구분,시도,시군구,상세주소,도로명상세주소,산주소여부,주지번,부지번,,,,
1135000009,상계3구역 옹벽,노원구,지자체(시군구),서울특별시,노원구,덕릉로126라길33 빌라 맞은편,,N,71,80,서울특별시 노원구 상계3.4동 덕릉로126라길 33,,,
1135000010,상계1구역 옹벽,노원구,지자체(시군구),서울특별시,노원구,덕릉로139길26 맞은편,,N,5,12,서울특별시 노원구 상계3.4동 덕릉로139길 26,,,
1135000011,상계2구역 옹벽,노원구,지자체(시군구),서울특별시,노원구,덕릉로129길53 빌라 왼편,,N,58,,서울특별시 노원구 상계3.4동 덕릉로129길 53,,,
1135000013,중계로지하차도 급경사지,노원구청 토목과,지자체(시군구),서울특별시,노원구,142,서울특별시 노원구 중계로,Y,142,13,서울특별시 노원구 중계본동 28-32,,,
1135000014,광운대 급경사지,노원구청 토목과,지자체(시군구),서울특별시,노원구,서울시 노원구 광운로 20(광운대학교 화도관 앞),서울특별시 노원구 광운로,N,447,1,서울특별시 노원구 월계1동 광운로 20,,,
1138000011,인공비탈,은평구청,지자체(시군구),서울특별시,은평구,은평구민체육센터,,N,362,0,서울특별시 은평구 진관동 진관1로 40,,,
1138000012,인공비탈,은평구청,지자체(시군구),서울특별시,은평구,외 4,,N,481,8,서울특별시 은평구 진관동 진관1로 40,,,
1138000040,북한57-00-01,북한산국립공원사무소,국립공원관리공단,서울특별시,은평구,백화사~가사당암문방면,,Y,25,,,37.64689,126.96101,
1138000041,북한59-01-01,북한산국립공원사무소,국립공원관리공단,서울특별시,은평구,삼천사하단~응봉방면,,Y,34,,서울특별시 은평구 진관동 연서로54길 127,,,
1138000042,북한58-00-02,북한산국립공원사무소,국립공원관리공단,서울특별시,은평구,삼천사하단 미타교,,Y,34,,서울특별시 은평구 진관동 연서로54길 127,,,
1138000044,북한51-00-01,북한산국립공원사무소,국립공원관리공단,서울특별시,은평구,북한산성분소~역사관,,N,259,8,서울특별시 은평구 진관동 대서문길,,,
1138000045,북한51-00-02,북한산국립공원사무소,국립공원관리공단,서울특별시,은평구,북한산성분소~역사관,,N,259,,서울특별시 은평구 진관동 대서문길,37.65918,126.95284,
1138000046,북한57-01-01,북한산국립공원사무소,국립공원관리공단,서울특별시,은평구,백화사~가사당암문,,Y,25,,서울특별시 은평구 진관동 318-2,,,
1138000047,북한58-00-01,북한산국립공원사무소,국립공원관리공단,서울특별시,은평구,삼천탐방지원센터 상단,,Y,32,,서울특별시 은평구 진관동 270-6,,,
1141000030,충정로3가32-11(옹벽),서대문구청,지자체(시군구),서울특별시,서대문구,엘림넷 빌딩,,N,32,11,서울특별시 서대문구 충정로3가 경기대로 15,,,
1141000061,연희동 713(연희동교회 뒤편),서대문구,지자체(시군구),서울특별시,서대문구,(712-3 전면),,N,713,0,서울특별시 서대문구 연희동 연희로10길 17-6,,,
1141000072,홍은동 331-15 석축,서대문 구청,지자체(시군구),서울특별시,서대문구,석축,석축,N,331,15,서울특별시 서대문구 홍은동 331-9,,,
1144000021,109(마포전기앞),서울시설공단,지자체(시군구),서울특별시,마포구,마포전기앞,,N,419,21,서울특별시 마포구 노고산동 109-65번지 ,,,
1144000026,노고산동 석축,마포구,지자체(시군구),서울특별시,마포구,고산2길 34-65,,N,12,136,서울특별시 마포구 노고산동 고산2길 34-65,,,
1144000028,상암동 1716-4,마포구,지자체(시군구),서울특별시,마포구,상암동 1716-4,,N,1716,4,서울특별시 마포구 상암동 1719-4,,,
1150000025,올림픽대로(강일방향) 염창IC 진출램프 우측,서울시설공단,지자체(시군구),서울특별시,강서구,올림픽대로(강일방향) 염창IC 진출램프 우측,,Y,20,1,,37.57589,126.87096,
1150000026,올림픽대로(강일방향) 궁산진출램프 전 우측,서울시설공단,지자체(시군구),서울특별시,강서구,올림픽대로(강일방향) 궁산진출램프 전 우측,,Y,5,0,,37.55798,127.175667,
1154500081,가마산로77 앞,강서도로사업소 도로보수과,시도,서울특별시,금천구,현대블루핸즈 앞,서울특별시 금천구 가마산로 77,N,703,3,서울특별시 금천구 시흥동 108-40,,,
1154500082,산복터널 앞 절개지,금천구청,지자체(시군구),서울특별시,금천구,시흥동 산100-1,,Y,100,1,서울특별시 금천구 시흥동 100-1,,,
1156000002,신길동 220-276,서울특별시장,지자체(시군구),서울특별시,영등포구,신길3동 287-14~220-35,,N,287,14,영등포구 신길동 220-276,,,
1159000015,경문고교,동작구청,지자체(시군구),서울특별시,동작구,경문고등학교,,Y,4,2,서울특별시 동작구 사당동 동작대로 171,,,
1159000017,사육신묘,동작구청,지자체(시군구),서울특별시,동작구,사육신묘,,N,155,1,서울특별시 동작구 노량진동 노량진로 191,,,
1165000035,방배동 970-28,서초구청,지자체(시군구),서울특별시,서초구,덕산도구빌,,N,970,28,서울특별시 서초구 방배동 970-28번지,,,
1165000080,언주로(내곡방향) 내곡IC 전 우측,서울시설공단,지자체(시군구),서울특별시,서초구,언주로(내곡방향) 내곡IC 전 우측,,N,13,,,37.67599,127.15375,
1168000004,수서동 749,공원녹지과,지자체(시군구),서울특별시,강남구,서울시립 수서청소년수련원,,N,749,0,서울특별시 강남구 수서동 749,,,
1168000007,양재대로(수서방향) 삼성의료원 사거리 전 우측,서울시설공단,지자체(시군구),서울특별시,강남구,양재대로(수서방향) 삼성의료원 사거리 전 우측,,N,173,8,서울특별시 일원동,37.48998,127.0828,
1168000008,양재대로(수서방향) 삼성의료원 앞 우측,서울시설공단,지자체(시군구),서울특별시,강남구,양재대로 삼성병원앞 우측,,N,50,,서울특별시 강남구 일원동 일원로 81,,,
1168000009,양재대로(수서방향) 일원지하차도 지난 우측,서울시설공단,지자체(시군구),서울특별시,강남구,양재대로(수서방향) 일원지하차도 지난 우측,,N,697,1,서울특별시 강남구 개포동,37.48714,127.07586,
1168000011,"양재대로(수서방향) 개포3,4단지 삼거리 지난 우측",서울시설공단,지자체(시군구),서울특별시,강남구,"양재대로(수서방향) 개포3,4단지 삼거리 지난 우측",,Y,63,14,서울특별시 강남구 대치동 994-17,37.50349,127.06757,
1168000013,양재대로(수서방향) 구룡터널 전 우측,서울시설공단,지자체(시군구),서울특별시,강남구,양재대로(수서방향) 구룡터널 전 우측,,N,647,3,서울특별시 강남구 개포동,37.47046,127.06481,
1168000014,양재대로(수서방향) 능인선원 지난우측,서울시설공단,지자체(시군구),서울특별시,강남구,양재대로(수서방향) 능인선원 지난우측,,N,1277,1,서울특별시 강남구 개포동 양재대로 340,,,
1168000015,양재대로(수서방향) 능인선원 전 우측,서울시설공단,지자체(시군구),서울특별시,강남구,양재대로(수서방향) 능인선원 전 우측,,N,1277,1,서울특별시 강남구 개포동 1055,,,
1168000035,언주로 매봉터널 진입 전 우측사면,서울특별시 동부도로사업소,시도,서울특별시,강남구,연세대학교 강남세브란스 병원 앞,,N,145,33,서울특별시 강남구 도곡1동 언주로 211,,,
1174000021,올림픽대로(강일방향) 암사고개 우측,서울시설공단,지자체(시군구),서울특별시,강동구,올림픽대로(강일방향) 암사고개 우측,,Y,7,5,,,,
1174000022,올림픽대로(공항방향) 암사고개 우측,서울시설공단,지자체(시군구),서울특별시,강동구,올림픽대로(공항방향) 암사고개 우측,,Y,6,2,,,,
1174000057,15(고덕천교),서울시설공단,지자체(시군구),서울특별시,강동구,종합상가B동,,N,217,0,서울특별시 강동구 암사동 상암로11길 25,,,
