"공간정보관리번호","X 좌표 최소값","Y 좌표 최소값","X 좌표 최대값","Y 좌표 최대값","제설함번호","관리기관명","위치상세정보","비고"
"3077","198857.7","544659.3","198857.7","544659.3","서초1-074","서초구","구반포역버스중앙차로 정류장","신반포로"
"3078","198917.2","544667.3","198917.2","544667.3","서초1-075","서초구","구반포역버스중앙차로 정류장","신반포로"
"3079","198747.9","544345.8","198747.9","544345.8","서초1-076","서초구","주흥길 맞은편 SK주유소앞","사평대로"
"3080","201565.0","544894.8","201565.0","544894.8","서초1-077","서초구","반포IC밑 빗물펌프장 앞","사평대로"
"3081","198686.3","544497.9","198686.3","544497.9","서초1-078","서초구","이수교차로","사평대로"
"3082","198707.5","544396.1","198707.5","544396.1","서초1-079","서초구","이수교차로 (경찰초소)","사평대로"
"3083","198719.0","544121.3","198719.0","544121.3","서초1-080","서초구","까페골목 입구","방배중앙로"
"3084","199080.4","543020.7","199080.4","543020.7","서초1-081","서초구","방배중앙로 입구","서초대로"
"3085","199009.9","542997.1","199009.9","542997.1","서초1-082","서초구","알파문구 앞","서초대로"
"3086","200400.8","543147.4","200400.8","543147.4","서초1-083","서초구","한국철강신문건너편","명달로"
"3087","200580.2","542076.1","200580.2","542076.1","서초1-084","서초구","래미안아트힐","명달로"
"3088","200607.8","542079.7","200607.8","542079.7","서초1-085","서초구","휠라코리아","명달로"
"3089","199381.4","542297.5","199381.4","542297.5","서초1-086","서초구","방배차도입구","효령로"
"3090","199362.4","542291.5","199362.4","542291.5","서초1-087","서초구","방배차도입구","효령로"
"3091","207978.7","540432.1","207978.7","540432.1","서초1-088","서초구","방배중앙로 입구","효령로"
"3092","199424.0","542281.0","199424.0","542281.0","서초1-089","서초구","대우효령아파트 입구","효령로"
"3093","200086.1","542481.7","200086.1","542481.7","서초1-090","서초구","신동아아파트 앞","효령로"
"3094","200262.1","542578.3","200262.1","542578.3","서초1-091","서초구","서초전화국 건너편","효령로"
"3095","201565.1","542859.4","201565.1","542859.4","서초1-092","서초구","국제전자센터앞","효령로"
"3096","201542.7","542884.6","201542.7","542884.6","서초1-093","서초구","국제전자센터 건너편","효령로"
"3097","199140.4","542201.1","199140.4","542201.1","서초1-094","서초구","방배오피스텔 앞","효령로"
"3098","198893.5","542232.1","198893.5","542232.1","서초1-095","서초구","새우촌공원 도구로 중앙","도구로"
"3099","198977.9","542366.3","198977.9","542366.3","서초1-096","서초구","네스코뮤즈빌아파트 앞","도구로"
"3100","198882.7","542557.8","198882.7","542557.8","서초1-097","서초구","도구로 9길 입구","도구로"
"3101","199040.0","542223.0","199040.0","542223.0","서초1-098","서초구","도구로 아래길","도구로"
"3102","200124.9","541862.9","200124.9","541862.9","서초1-099","서초구","임광아파트","방배로"
