기준일ID,시간대구분,행정동코드,총생활인구수
20210101,15,11380510,34383.1391
20210101,15,11380520,36844.4462
20210101,15,11380530,22152.6335
20210101,15,11380551,25469.3978
20210101,15,11380552,24707.8464
20210101,15,11380560,27747.5815
20210101,15,11380570,33817.0435
20210101,15,11380580,26942.0387
20210101,15,11380590,18358.8735
20210101,15,11380600,23658.9571
20210101,15,11380625,45437.2198
20210101,15,11380631,26472.6672
20210101,15,11380632,16574.3347
20210101,15,11380640,13440.7621
20210101,15,11380650,11167.2887
20210101,15,11380690,67293.0491
20210101,16,11380510,34629.4247
20210101,16,11380520,37044.6774
20210101,16,11380530,22146.7003
20210101,16,11380551,25953.7028
20210101,16,11380552,25008.2919
20210101,16,11380560,27956.4094
20210101,16,11380570,33905.22
20210101,16,11380580,27044.2364
20210101,16,11380590,18303.4696
20210101,16,11380600,23956.5229
20210101,16,11380625,46305.869
20210101,16,11380631,26479.7556
20210101,16,11380632,16539.7594
20210101,16,11380640,13310.1125
20210101,16,11380650,11321.4531
20210101,16,11380690,66413.851
20210101,17,11380510,35050.6485
20210101,17,11380520,37398.8797
20210101,17,11380530,22574.577
20210101,17,11380551,26271.6602
20210101,17,11380552,25545.8634
20210101,17,11380560,27953.803
20210101,17,11380570,34716.5927
20210101,17,11380580,27021.9833
20210101,17,11380590,18522.8462
20210101,17,11380600,24467.9094
20210101,17,11380625,46683.4623
20210101,17,11380631,27298.8062
20210101,17,11380632,16440.9963
20210101,17,11380640,13644.8481
20210101,17,11380650,11444.7696
20210101,17,11380690,65391.2658
20210101,18,11380510,35140.7073
20210101,18,11380520,38021.4212
20210101,18,11380530,22742.0724
20210101,18,11380551,26980.5201
20210101,18,11380552,25945.9895
20210101,18,11380560,28007.1754
20210101,18,11380570,34760.2992
20210101,18,11380580,27379.7689
20210101,18,11380590,18909.7931
20210101,18,11380600,25049.1672
20210101,18,11380625,47054.1492
20210101,18,11380631,27763.0121
20210101,18,11380632,16597.2385
20210101,18,11380640,13625.028
20210101,18,11380650,11482.2887
20210101,18,11380690,65318.9909
20210101,19,11380510,35504.1371
20210101,19,11380520,38353.9142
20210101,19,11380530,22892.3683
20210101,19,11380551,27104.822
20210101,19,11380552,26488.5437
20210101,19,11380560,27967.0278
20210101,19,11380570,34788.1077
20210101,19,11380580,27813.9105
20210101,19,11380590,19203.4653
20210101,19,11380600,25297.3031
20210101,19,11380625,47592.561
20210101,19,11380631,28164.7133
20210101,19,11380632,16766.0809
20210101,19,11380640,13354.8164
20210101,19,11380650,11555.5026
20210101,19,11380690,65056.4639
20210101,20,11380510,35944.9731
20210101,20,11380520,38669.1061
20210101,20,11380530,23060.2682
20210101,20,11380551,27359.6682
20210101,20,11380552,26354.9533
20210101,20,11380560,28167.5457
20210101,20,11380570,34919.4275
20210101,20,11380580,27806.9548
20210101,20,11380590,19285.5468
20210101,20,11380600,25600.8075
20210101,20,11380625,48131.6172
20210101,20,11380631,28284.7842
20210101,20,11380632,16923.7382
20210101,20,11380640,13510.9771
20210101,20,11380650,11736.9989
20210101,20,11380690,65028.517
20210101,21,11380510,36501.6717
20210101,21,11380520,39176.1577
20210101,21,11380530,23029.788
20210101,21,11380551,27040.5356
20210101,21,11380552,26239.032
20210101,21,11380560,28816.3599
20210101,21,11380570,35092.576
20210101,21,11380580,27822.9439
20210101,21,11380590,19595.7639
20210101,21,11380600,25952.8667
20210101,21,11380625,48659.3044
20210101,21,11380631,28346.439
20210101,21,11380632,17210.932
20210101,21,11380640,13575.9095
20210101,21,11380650,12204.9214
20210101,21,11380690,65056.3461
20210101,22,11380510,36676.9796
20210101,22,11380520,39346.1455
20210101,22,11380530,23163.3205
20210101,22,11380551,26742.4807
20210101,22,11380552,26619.9129
20210101,22,11380560,28851.9855
20210101,22,11380570,35763.6161
20210101,22,11380580,28256.0753
20210101,22,11380590,19662.9119
20210101,22,11380600,26177.4271
20210101,22,11380625,48912.8955
20210101,22,11380631,28295.8084
20210101,22,11380632,17291.5815
20210101,22,11380640,13523.2667
20210101,22,11380650,12338.6668
20210101,22,11380690,65123.0824
20210101,23,11380510,39213.8378
20210101,23,11380520,38125.1839
20210101,23,11380530,25608.2859
20210101,23,11380551,25100.9052
20210101,23,11380552,28677.6305
20210101,23,11380560,29996.0399
20210101,23,11380570,34251.2697
20210101,23,11380580,29425.8894
20210101,23,11380590,20904.0229
20210101,23,11380600,25583.7691
20210101,23,11380625,49766.2747
20210101,23,11380631,27628.8006
20210101,23,11380632,18605.6068
20210101,23,11380640,13229.5758
20210101,23,11380650,11593.0315
20210101,23,11380690,66504.8638
20210102,0,11380510,39124.4815
20210102,0,11380520,38373.9219
20210102,0,11380530,25595.2473
20210102,0,11380551,24995.472
20210102,0,11380552,28835.8861
20210102,0,11380560,30117.3441
20210102,0,11380570,34041.6044
20210102,0,11380580,29469.8523
20210102,0,11380590,21018.0689
20210102,0,11380600,25690.4803
20210102,0,11380625,49860.6889
20210102,0,11380631,27760.2764
20210102,0,11380632,18515.9157
20210102,0,11380640,13182.7615
20210102,0,11380650,11667.6925
20210102,0,11380690,66378.0965
20210102,1,11380510,39187.0198
20210102,1,11380520,38204.7993
20210102,1,11380530,25573.0042
20210102,1,11380551,24832.6405
20210102,1,11380552,28951.389
20210102,1,11380560,30321.619
20210102,1,11380570,34350.5099
20210102,1,11380580,29869.3128
20210102,1,11380590,21100.9157
20210102,1,11380600,25750.9408
20210102,1,11380625,49845.4648
20210102,1,11380631,27274.7712
20210102,1,11380632,18532.3034
20210102,1,11380640,13086.5083
20210102,1,11380650,11732.2049
20210102,1,11380690,66359.8392
20210102,2,11380510,39295.5125
20210102,2,11380520,38336.5382
20210102,2,11380530,25663.5891
20210102,2,11380551,24574.7528
20210102,2,11380552,29062.5937
20210102,2,11380560,30311.6721
20210102,2,11380570,34268.9889
20210102,2,11380580,29933.8777
20210102,2,11380590,21025.2792
20210102,2,11380600,25751.8298
20210102,2,11380625,49845.2107
20210102,2,11380631,27297.0475
20210102,2,11380632,18504.606
20210102,2,11380640,13092.1861
20210102,2,11380650,11885.7245
20210102,2,11380690,66163.0384
20210102,3,11380510,39236.5319
20210102,3,11380520,37269.4193
20210102,3,11380530,25633.1429
20210102,3,11380551,24591.8551
20210102,3,11380552,29002.6479
20210102,3,11380560,30403.5907
20210102,3,11380570,35413.3144
20210102,3,11380580,30026.8433
20210102,3,11380590,21014.7368
20210102,3,11380600,25707.5148
20210102,3,11380625,49789.8323
20210102,3,11380631,27198.6161
20210102,3,11380632,18535.9315
20210102,3,11380640,13084.6064
20210102,3,11380650,11964.3689
20210102,3,11380690,66281.6509
20210102,4,11380510,39401.3389
20210102,4,11380520,36223.5589
20210102,4,11380530,25510.3754
20210102,4,11380551,24562.3829
20210102,4,11380552,28938.1675
20210102,4,11380560,30397.788
20210102,4,11380570,36115.678
20210102,4,11380580,29971.4789
20210102,4,11380590,20953.0385
20210102,4,11380600,25789.0859
20210102,4,11380625,49717.9
20210102,4,11380631,27176.6707
20210102,4,11380632,18477.4449
20210102,4,11380640,13077.8694
20210102,4,11380650,12112.6462
20210102,4,11380690,66134.7788
20210102,5,11380510,39210.9386
20210102,5,11380520,36601.3849
20210102,5,11380530,25280.9301
20210102,5,11380551,24575.671
20210102,5,11380552,28818.0565
20210102,5,11380560,29982.7449
20210102,5,11380570,35771.1674
20210102,5,11380580,29879.2664
20210102,5,11380590,20748.5601
20210102,5,11380600,25747.9399
20210102,5,11380625,49347.0724
20210102,5,11380631,27285.9887
20210102,5,11380632,18347.5666
20210102,5,11380640,13105.9373
20210102,5,11380650,12067.6419
20210102,5,11380690,66439.1641
20210102,6,11380510,38892.0181
20210102,6,11380520,36912.5478
20210102,6,11380530,25080.1628
20210102,6,11380551,24870.9209
20210102,6,11380552,28275.6077
20210102,6,11380560,29701.5316
20210102,6,11380570,34962.7119
20210102,6,11380580,29347.8699
20210102,6,11380590,20747.2299
20210102,6,11380600,25380.6735
20210102,6,11380625,49248.7809
20210102,6,11380631,27043.4117
20210102,6,11380632,18426.0298
20210102,6,11380640,13149.2783
20210102,6,11380650,12031.2295
20210102,6,11380690,66451.2227
20210102,7,11380510,38500.7449
20210102,7,11380520,37035.9052
20210102,7,11380530,24530.5076
20210102,7,11380551,25161.2092
20210102,7,11380552,27388.0829
20210102,7,11380560,29408.325
20210102,7,11380570,34363.1538
20210102,7,11380580,29063.0003
20210102,7,11380590,20558.1771
20210102,7,11380600,25057.6615
20210102,7,11380625,48633.765
20210102,7,11380631,26893.4506
20210102,7,11380632,18367.3059
20210102,7,11380640,13190.9615
20210102,7,11380650,11972.9668
20210102,7,11380690,66921.817
20210102,8,11380510,37911.9963
20210102,8,11380520,36819.3292
20210102,8,11380530,24242.0469
20210102,8,11380551,25621.3562
20210102,8,11380552,26313.0033
20210102,8,11380560,28883.1634
20210102,8,11380570,33965.902
20210102,8,11380580,28828.1931
20210102,8,11380590,20022.6522
20210102,8,11380600,24790.3837
20210102,8,11380625,48062.7453
20210102,8,11380631,26916.2403
20210102,8,11380632,17804.7999
20210102,8,11380640,13230.5866
20210102,8,11380650,11853.3143
20210102,8,11380690,66758.3481
20210102,9,11380510,37022.0864
20210102,9,11380520,36863.1141
20210102,9,11380530,23622.1512
20210102,9,11380551,25699.2202
20210102,9,11380552,25449.8613
20210102,9,11380560,28172.9409
20210102,9,11380570,33752.5576
20210102,9,11380580,28286.4576
20210102,9,11380590,19583.2127
20210102,9,11380600,24185.8969
20210102,9,11380625,47113.2762
20210102,9,11380631,27070.6212
20210102,9,11380632,17371.3699
20210102,9,11380640,13121.9223
20210102,9,11380650,11559.44
20210102,9,11380690,66753.8312
20210102,10,11380510,36294.4359
20210102,10,11380520,36482.3424
20210102,10,11380530,23185.7684
20210102,10,11380551,25812.4596
20210102,10,11380552,24901.6036
20210102,10,11380560,27494.1172
20210102,10,11380570,33332.0356
20210102,10,11380580,27763.4089
20210102,10,11380590,19065.1287
20210102,10,11380600,23874.3787
20210102,10,11380625,46489.6
20210102,10,11380631,26544.234
20210102,10,11380632,16876.4227
20210102,10,11380640,13059.8971
20210102,10,11380650,11287.9584
20210102,10,11380690,66375.4512
20210102,11,11380510,35217.5906
20210102,11,11380520,36467.0892
20210102,11,11380530,22757.5783
20210102,11,11380551,25582.4412
20210102,11,11380552,24290.5497
20210102,11,11380560,26934.1804
20210102,11,11380570,33218.6322
20210102,11,11380580,27383.0933
20210102,11,11380590,18345.5815
