기준일ID,시간대구분,행정동코드,총생활인구수
20201202,13,11380632,12755.3058
20201202,13,11380640,11252.7665
20201202,13,11380650,11729.8049
20201202,13,11380690,58548.4278
20201202,14,11380510,31161.3497
20201202,14,11380520,30811.332
20201202,14,11380530,17836.0482
20201202,14,11380551,22008.6442
20201202,14,11380552,19796.1241
20201202,14,11380560,23225.719
20201202,14,11380570,28619.1772
20201202,14,11380580,23282.1603
20201202,14,11380590,14578.1139
20201202,14,11380600,20832.2276
20201202,14,11380625,36879.5549
20201202,14,11380631,20667.5601
20201202,14,11380632,12398.3374
20201202,14,11380640,11280.0532
20201202,14,11380650,11572.7301
20201202,14,11380690,58842.2293
20201202,15,11380510,31617.6157
20201202,15,11380520,31835.7952
20201202,15,11380530,17635.7141
20201202,15,11380551,21838.5293
20201202,15,11380552,20044.725
20201202,15,11380560,23646.647
20201202,15,11380570,28138.5752
20201202,15,11380580,23617.6433
20201202,15,11380590,14577.9184
20201202,15,11380600,20867.9423
20201202,15,11380625,37364.5914
20201202,15,11380631,20750.733
20201202,15,11380632,12445.2867
20201202,15,11380640,11512.7689
20201202,15,11380650,11872.7514
20201202,15,11380690,58337.662
20201202,16,11380510,32202.8736
20201202,16,11380520,32423.7056
20201202,16,11380530,17758.0185
20201202,16,11380551,22582.6096
20201202,16,11380552,20253.8083
20201202,16,11380560,23302.5284
20201202,16,11380570,29483.5741
20201202,16,11380580,23797.5232
20201202,16,11380590,14656.9417
20201202,16,11380600,21748.4586
20201202,16,11380625,38513.0912
20201202,16,11380631,21372.6999
20201202,16,11380632,12491.3591
20201202,16,11380640,11327.9333
20201202,16,11380650,12059.4954
20201202,16,11380690,57966.0066
20201202,17,11380510,32495.3074
20201202,17,11380520,32898.2164
20201202,17,11380530,18531.4585
20201202,17,11380551,23461.3688
20201202,17,11380552,21165.8895
20201202,17,11380560,23870.5819
20201202,17,11380570,30731.2654
20201202,17,11380580,24223.4813
20201202,17,11380590,14865.1302
20201202,17,11380600,22300.7977
20201202,17,11380625,39608.8164
20201202,17,11380631,22287.9896
20201202,17,11380632,12956.3981
20201202,17,11380640,11850.6396
20201202,17,11380650,12298.8833
20201202,17,11380690,58966.7023
20201202,18,11380510,33749.273
20201202,18,11380520,34967.0406
20201202,18,11380530,19624.6077
20201202,18,11380551,25124.2618
20201202,18,11380552,22594.3969
20201202,18,11380560,24287.4293
20201202,18,11380570,32530.3228
20201202,18,11380580,25941.3981
20201202,18,11380590,15571.7381
20201202,18,11380600,24120.0018
20201202,18,11380625,41707.9328
20201202,18,11380631,23944.0747
20201202,18,11380632,13865.1568
20201202,18,11380640,12361.3687
20201202,18,11380650,12801.1284
20201202,18,11380690,61834.9173
20201202,19,11380510,34300.728
20201202,19,11380520,36609.8165
20201202,19,11380530,21074.4675
20201202,19,11380551,26484.5246
20201202,19,11380552,23918.0892
20201202,19,11380560,24984.3929
20201202,19,11380570,33629.0597
20201202,19,11380580,27173.7812
20201202,19,11380590,16704.9028
20201202,19,11380600,25718.6136
20201202,19,11380625,44126.6782
20201202,19,11380631,25277.1006
